"Id","Season","Week","Neutral Site","Conference Game","Home Id","Home Team","Home Conference","Home Pregame Elo","Away Id","Away Team","Away Conference","Away Pregame Elo"
"401531382","2023","8","false","true","5","UAB","American Athletic","1546","235","Memphis","American Athletic","1490"
"401525530","2023","8","false","true","52","Florida State","ACC","1501","150","Duke","ACC","1168"
"401520339","2023","8","false","false","99","LSU","SEC","1538","349","Army","FBS Independents","1544"
"401520336","2023","8","false","true","356","Illinois","Big Ten","1496","275","Wisconsin","Big Ten","1742"
"401531895","2023","8","false","true","295","Old Dominion","Sun Belt","1390","2026","Appalachian State","Sun Belt","1656"
"401525531","2023","8","false","true","153","North Carolina","ACC","1555","258","Virginia","ACC","1526"
"401531372","2023","8","false","true","2655","Tulane","American Athletic","1444","249","North Texas","American Athletic","1426"
"401531896","2023","8","false","true","2032","Arkansas State","Sun Belt","1262","324","Coastal Carolina","Sun Belt","1647"
"401520338","2023","8","false","true","2294","Iowa","Big Ten","1624","135","Minnesota","Big Ten","1639"
"401532428","2023","8","false","true","195","Ohio","Mid-American","1368","2711","Western Michigan","Mid-American","1538"
"401524036","2023","8","false","true","24","Stanford","Pac-12","1355","26","UCLA","Pac-12","1667"
"401532601","2023","8","false","true","21","San Diego State","Mountain West","1535","2440","Nevada","Mountain West","1564"
"401532427","2023","8","false","true","193","Miami (OH)","Mid-American","1516","2649","Toledo","Mid-American","1534"
"401520335","2023","8","false","true","2","Auburn","SEC","1632","145","Ole Miss","SEC","1658"
"401531406","2023","8","false","true","151","East Carolina","American Athletic","1518","2429","Charlotte","American Athletic","1272"
"401520341","2023","8","false","true","142","Missouri","SEC","1404","2579","South Carolina","SEC","1486"
"401525868","2023","8","false","true","2132","Cincinnati","Big 12","1801","239","Baylor","Big 12","1690"
"401531897","2023","8","false","true","309","Louisiana","Sun Belt","1720","2247","Georgia State","Sun Belt","1522"
"401520342","2023","8","false","true","158","Nebraska","Big Ten","1636","77","Northwestern","Big Ten","1361"
"401525867","2023","8","false","true","252","BYU","Big 12","1648","2641","Texas Tech","Big 12","1536"
"401525871","2023","8","false","true","201","Oklahoma","Big 12","1749","2116","UCF","Big 12","1569"
"401524035","2023","8","false","true","2483","Oregon","Pac-12","1574","265","Washington State","Pac-12","1590"
"401525532","2023","8","false","true","154","Wake Forest","ACC","1640","221","Pittsburgh","ACC","1667"
